MDL_Raw,MDL_Score,SPR_Raw,SPR_score,HRPU_Raw,HPRU_score,SDC_Raw,SDC_score,LTK_Raw,LTK_score,X2MR_Finish,2MR_score,APFT_pushups,APFT_situps,APFT_runtime_sec,APFT_score,IOCT_Score,IOCT_time,age,hgt_in,wt_lb,BMI,Sex,ACFT_Score
240,78,10.5,87,26,68,1:33,100,2,62,16:27,80,67,75,812,263,718,3.07,23,71,221,30.18887573,Male,475
300,90,12.5,100,49,89,1:33,100,20,100,15:58,83,74,71,783,278,762,2.56,23,69,185,26.93289838,Male,562
200,70,6.9,67,31,71,1:37,99,15,90,13:32,99,69,84,732,297,908,2.35,21,66,166,26.36389779,Male,496
220,74,4.9,61,25,67,2:05,75,0,0,16:30,79,50,70,858,287,874,3.4,26,66,153,23.38549403,Female,356
340,100,7.8,69,35,75,1:50,90,15,90,15:37,85,62,88,721,287,718,3.1,21,68,175,25.4530688,Male,509
260,82,8.8,75,31,71,1:41,97,9,78,12:20,100,69,75,694,288,758,2.58,22,75,190,23.29701629,Male,503
300,90,9.5,80,52,92,1:34,100,13,86,13:39,98,90,96,780,337,812,2.47,21,67,172,25.75009082,Male,546
150,62,5.8,63,12,61,1:54,86,12,84,14:48,91,60,94,786,350,946,3.16,21,70,154,21.56776113,Female,447
130,50,4.4,55,3,25,2:34,65,0,0,20:35,61,48,81,1099,266,718,5.07,23,62,144,25.65987537,Female,256
300,90,11.1,91,33,73,1:39,98,7,74,12:59,100,738,85,715,319,926,2.32,26,74,188,22.92125796,Male,526
300,90,9.2,78,44,84,1:46,94,13,86,13:12,100,83,94,700,342,860,2.41,22,68,163,24.37878421,Male,532
200,70,9,77,32,72,1:46,94,10,80,16:14,81,69,80,769,271,758,2.58,23,72,178,23.40116248,Male,474
280,86,11.5,93,32,72,1:40,98,12,84,15:10,88,89,84,773,289,718,3.08,21,75,184,22.92125796,Male,521
340,100,11.1,91,43,83,1:26,100,13,86,16:09,82,72,79,762,308,830,2.44,21,74,195,24.83154578,Male,542
200,70,8.7,75,34,74,1:44,96,10,80,16:37,79,68,74,885,260,830,2.44,23,71,153,21.38378697,Male,474
240,78,9.1,77,35,75,1:59,81,7,74,15:13,88,75,78,773,289,776,2.53,22,70,164,23.52929034,Male,473
340,100,14.1,100,41,81,1:21,100,14,88,13:40,98,75,95,780,297,932,2.31,22,76,220,26.71325539,Male,567
220,74,8.1,71,28,69,1:31,100,6,72,14:59,90,76,80,780,284,762,2.57,21,74,217,28.29293091,Male,476
240,78,9.9,82,31,71,1:44,96,8,76,15:50,84,72,81,847,277,690,3.2,22,74,206,26.70641142,Male,487
240,78,11.5,93,24,67,1:28,100,8,76,16:03,82,65,71,814,265,718,3.07,21,73,191,25.25210189,Male,496
340,100,11.5,93,41,81,1:32,100,17,94,15:00,89,84,93,734,331,902,2.36,22,71,242,32.88972627,Male,557
240,78,9.9,82,35,75,1:35,100,12,84,13:14,100,85,101,753,340,920,2.33,22,71,169,23.58075217,Male,519
240,78,9.3,79,31,71,1:38,99,10,80,14:16,94,83,95,689,349,848,2.42,22,74,179,23.53337244,Male,501
260,82,10.6,87,34,74,1:30,100,10,80,16:03,82,75,80,736,311,908,2.35,22,73,198,26.50205216,Male,505
340,100,11,90,43,83,1:22,100,17,94,14:58,90,77,85,775,313,884,2.39,24,72,217,28.55735082,Male,557
240,78,9.7,81,35,75,1:34,100,12,84,15:56,83,75,84,780,289,836,2.43,22,68,180,26.66429523,Male,501
300,90,10.6,87,38,78,1:31,100,4,68,12:14,100,76,86,715,331,932,2.31,22,73,198,26.50205216,Male,523
260,82,13.7,100,25,67,1:25,100,18,96,14:57,90,72,83,819,285,890,2.38,21,81,225,24.65914023,Male,535
300,90,11.3,92,35,75,1:33,100,8,76,16:55,77,71,73,849,264,758,2.58,22,75,212,27.01878038,Male,510
240,78,7.6,69,41,81,1:40,98,11,82,14:02,96,86,99,738,349,944,2.28,22,69,157,22.57425665,Male,504
260,82,9.9,82,47,87,1:38,99,15,90,15:05,89,86,91,780,308,750,2.59,22,68,184,27.42613224,Male,529
240,78,8.3,73,41,81,1:34,100,8,76,13:52,97,97,83,760,308,824,2.45,24,74,219,28.82177074,Male,505
300,90,9.2,78,43,83,1:33,100,16,92,15:15,88,78,85,755,318,824,2.45,22,67,186,28.18796924,Male,531
300,90,12.6,100,30,70,2:43,63,10,80,17:06,75,81,78,694,293,718,3.09,21,70,214,30.33865066,Male,478
300,90,11.9,96,36,76,1:28,100,12,84,16:18,81,78,101,781,299,770,2.54,22,73,218,29.0843034,Male,527
240,78,9.2,78,40,80,1:44,96,8,76,16:42,78,72,79,797,279,806,2.48,21,68,162,23.82525626,Male,486
340,100,9.8,82,45,85,1:28,100,14,88,11:09,100,86,100,660,364,978,2.22,22,72,165,22.15299745,Male,555
160,63,6.6,66,25,67,2:15,69,3,65,15:58,83,55,78,811,297,946,3.16,22,69,134,19.23778456,Female,413
260,82,9,77,35,75,1:41,97,10,80,14:35,92,76,82,818,290,750,3,21,70,188,26.7440238,Male,503
